case_a,case_b,overlap_bars
CASE-001,CASE-002,0
CASE-001,CASE-003,0
CASE-001,CASE-004,0
CASE-001,CASE-005,0
CASE-001,CASE-006,0
CASE-001,CASE-007,0
CASE-001,CASE-008,0
CASE-001,CASE-009,0
CASE-001,CASE-010,0
CASE-001,CASE-011,0
CASE-001,CASE-012,0
CASE-001,CASE-013,0
CASE-001,CASE-014,0
CASE-001,CASE-015,0
CASE-001,CASE-016,0
CASE-001,CASE-017,0
CASE-001,CASE-018,0
CASE-001,CASE-019,0
CASE-001,CASE-020,0
CASE-001,CASE-021,0
CASE-001,CASE-022,0
CASE-001,CASE-023,0
CASE-001,CASE-024,0
CASE-001,CASE-025,0
CASE-001,CASE-026,0
CASE-001,CASE-027,0
CASE-001,CASE-028,0
CASE-001,CASE-029,0
CASE-001,CASE-030,0
CASE-001,CASE-031,0
CASE-001,CASE-032,0
CASE-001,CASE-033,0
CASE-001,CASE-034,0
CASE-001,CASE-035,0
CASE-001,CASE-036,0
CASE-001,CASE-037,0
CASE-001,CASE-038,0
CASE-001,CASE-039,0
CASE-001,CASE-040,0
CASE-001,CASE-041,0
CASE-001,CASE-042,0
CASE-001,CASE-043,0
CASE-001,CASE-044,0
CASE-001,CASE-045,0
CASE-002,CASE-003,0
CASE-002,CASE-004,0
CASE-002,CASE-005,0
CASE-002,CASE-006,0
CASE-002,CASE-007,0
CASE-002,CASE-008,0
CASE-002,CASE-009,0
CASE-002,CASE-010,0
CASE-002,CASE-011,0
CASE-002,CASE-012,0
CASE-002,CASE-013,0
CASE-002,CASE-014,0
CASE-002,CASE-015,0
CASE-002,CASE-016,0
CASE-002,CASE-017,0
CASE-002,CASE-018,0
CASE-002,CASE-019,0
CASE-002,CASE-020,0
CASE-002,CASE-021,0
CASE-002,CASE-022,0
CASE-002,CASE-023,0
CASE-002,CASE-024,0
CASE-002,CASE-025,0
CASE-002,CASE-026,0
CASE-002,CASE-027,0
CASE-002,CASE-028,0
CASE-002,CASE-029,0
CASE-002,CASE-030,0
CASE-002,CASE-031,0
CASE-002,CASE-032,0
CASE-002,CASE-033,0
CASE-002,CASE-034,0
CASE-002,CASE-035,0
CASE-002,CASE-036,0
CASE-002,CASE-037,0
CASE-002,CASE-038,0
CASE-002,CASE-039,0
CASE-002,CASE-040,0
CASE-002,CASE-041,0
CASE-002,CASE-042,0
CASE-002,CASE-043,0
CASE-002,CASE-044,0
CASE-002,CASE-045,0
CASE-003,CASE-004,0
CASE-003,CASE-005,0
CASE-003,CASE-006,0
CASE-003,CASE-007,0
CASE-003,CASE-008,0
CASE-003,CASE-009,0
CASE-003,CASE-010,0
CASE-003,CASE-011,0
CASE-003,CASE-012,0
CASE-003,CASE-013,0
CASE-003,CASE-014,0
CASE-003,CASE-015,0
CASE-003,CASE-016,0
CASE-003,CASE-017,0
CASE-003,CASE-018,0
CASE-003,CASE-019,0
CASE-003,CASE-020,0
CASE-003,CASE-021,0
CASE-003,CASE-022,0
CASE-003,CASE-023,0
CASE-003,CASE-024,0
CASE-003,CASE-025,0
CASE-003,CASE-026,0
CASE-003,CASE-027,0
CASE-003,CASE-028,0
CASE-003,CASE-029,0
CASE-003,CASE-030,0
CASE-003,CASE-031,0
CASE-003,CASE-032,0
CASE-003,CASE-033,0
CASE-003,CASE-034,0
CASE-003,CASE-035,0
CASE-003,CASE-036,0
CASE-003,CASE-037,0
CASE-003,CASE-038,0
CASE-003,CASE-039,0
CASE-003,CASE-040,0
CASE-003,CASE-041,0
CASE-003,CASE-042,0
CASE-003,CASE-043,0
CASE-003,CASE-044,0
CASE-003,CASE-045,0
CASE-004,CASE-005,0
CASE-004,CASE-006,0
CASE-004,CASE-007,0
CASE-004,CASE-008,0
CASE-004,CASE-009,0
CASE-004,CASE-010,0
CASE-004,CASE-011,0
CASE-004,CASE-012,0
CASE-004,CASE-013,0
CASE-004,CASE-014,0
CASE-004,CASE-015,0
CASE-004,CASE-016,0
CASE-004,CASE-017,0
CASE-004,CASE-018,0
CASE-004,CASE-019,0
CASE-004,CASE-020,0
CASE-004,CASE-021,0
CASE-004,CASE-022,0
CASE-004,CASE-023,0
CASE-004,CASE-024,0
CASE-004,CASE-025,0
CASE-004,CASE-026,0
CASE-004,CASE-027,0
CASE-004,CASE-028,0
CASE-004,CASE-029,0
CASE-004,CASE-030,0
CASE-004,CASE-031,0
CASE-004,CASE-032,0
CASE-004,CASE-033,0
CASE-004,CASE-034,0
CASE-004,CASE-035,0
CASE-004,CASE-036,0
CASE-004,CASE-037,0
CASE-004,CASE-038,0
CASE-004,CASE-039,0
CASE-004,CASE-040,0
CASE-004,CASE-041,0
CASE-004,CASE-042,0
CASE-004,CASE-043,0
CASE-004,CASE-044,0
CASE-004,CASE-045,0
CASE-005,CASE-006,0
CASE-005,CASE-007,0
CASE-005,CASE-008,0
CASE-005,CASE-009,0
CASE-005,CASE-010,0
CASE-005,CASE-011,0
CASE-005,CASE-012,0
CASE-005,CASE-013,0
CASE-005,CASE-014,0
CASE-005,CASE-015,0
CASE-005,CASE-016,0
CASE-005,CASE-017,0
CASE-005,CASE-018,0
CASE-005,CASE-019,0
CASE-005,CASE-020,0
CASE-005,CASE-021,0
CASE-005,CASE-022,0
CASE-005,CASE-023,0
CASE-005,CASE-024,0
CASE-005,CASE-025,0
CASE-005,CASE-026,0
CASE-005,CASE-027,0
CASE-005,CASE-028,0
CASE-005,CASE-029,0
CASE-005,CASE-030,0
CASE-005,CASE-031,0
CASE-005,CASE-032,0
CASE-005,CASE-033,0
CASE-005,CASE-034,0
CASE-005,CASE-035,0
CASE-005,CASE-036,0
CASE-005,CASE-037,0
CASE-005,CASE-038,0
CASE-005,CASE-039,0
CASE-005,CASE-040,0
CASE-005,CASE-041,0
CASE-005,CASE-042,0
CASE-005,CASE-043,0
CASE-005,CASE-044,0
CASE-005,CASE-045,0
CASE-006,CASE-007,0
CASE-006,CASE-008,0
CASE-006,CASE-009,0
