case_a,case_b,overlap_bars
CASE-001,CASE-002,0
CASE-001,CASE-003,0
CASE-001,CASE-004,0
CASE-001,CASE-005,0
CASE-001,CASE-006,0
CASE-001,CASE-007,0
CASE-001,CASE-008,0
CASE-001,CASE-009,0
CASE-001,CASE-010,0
CASE-002,CASE-003,0
CASE-002,CASE-004,0
CASE-002,CASE-005,0
CASE-002,CASE-006,0
CASE-002,CASE-007,0
CASE-002,CASE-008,0
CASE-002,CASE-009,0
CASE-002,CASE-010,0
CASE-003,CASE-004,0
CASE-003,CASE-005,0
CASE-003,CASE-006,0
CASE-003,CASE-007,0
CASE-003,CASE-008,0
CASE-003,CASE-009,0
CASE-003,CASE-010,0
CASE-004,CASE-005,0
CASE-004,CASE-006,0
CASE-004,CASE-007,0
CASE-004,CASE-008,0
CASE-004,CASE-009,0
CASE-004,CASE-010,0
CASE-005,CASE-006,0
CASE-005,CASE-007,0
CASE-005,CASE-008,0
CASE-005,CASE-009,0
CASE-005,CASE-010,0
CASE-006,CASE-007,0
CASE-006,CASE-008,0
CASE-006,CASE-009,0
CASE-006,CASE-010,0
CASE-007,CASE-008,0
CASE-007,CASE-009,0
CASE-007,CASE-010,0
CASE-008,CASE-009,0
CASE-008,CASE-010,0
CASE-009,CASE-010,0
